chapter,chapter_title,approx_start_year,approx_end_year,life_stage,primary_locations,notes,include_in_timeline,date_confidence,boundary_review_status,timeline_review_status
1,Earliest Memories,1922,1934,Childhood and early adolescence,"Idaho Falls, ID; Mesa, AZ; Pomona, CA","Approximate. Begins with family history, Idaho Falls, Mesa, father’s death, Depression-era childhood, and early school years. Dates need rebuilt raw OCR because current JSON appears number-stripped.",TRUE,medium,review_after_raw_rds_rebuild,needs_raw_dates
2,The Teenage Period,1935,1942,"Teenage years, early work, first marriage","Idaho Falls, ID; Pomona, CA; Salt Lake City, UT","Approximate. Covers church youth roles, work, high school, Pomona, Salt Lake City, Western Electric, Pearl Harbor, Joyce, and enlistment. Needs source-date verification.",TRUE,medium,review_after_raw_rds_rebuild,needs_raw_dates
3,World War Two,1942,1945,Military service,"U.S. Navy; Treasure Island; Logan; Corpus Christi; Quonset Point; USS Wasp; Pacific theater","Approximate. Covers Navy electronics/radar training, USS Wasp, Pacific engagements, ship damage, end of war, and discharge.",TRUE,high,review_after_raw_rds_rebuild,needs_source_events
4,My College Years BYU and Colombia,1946,1951,"College, remarriage, church service, early family formation","Idaho Falls, ID; Provo, UT; BYU; Colombia","Approximate. Needs review after fuller chapter pass; title comes from old app/corpus heading.",TRUE,low,needs_review,needs_raw_dates
5,The CIA,1951,1958,Early intelligence career,"Washington, DC area; Munich; Europe; CIA assignments","Approximate. Needs review after entity/timeline extraction. Includes early CIA period and field operations context.",TRUE,low,needs_review,needs_raw_dates
6,Montevideo Uruguay,1958,1962,Foreign service assignment,"Montevideo, Uruguay; Paraguay; Brazil/Argentina border region","Approximate. Corpus heading includes Montevideo Uruguay; text includes return-to-headquarters material near boundary, so boundaries need review.",TRUE,low,needs_review,needs_raw_dates
7,Headquarters Duty,1962,1965,Headquarters and family life,"Washington, DC area; Virginia; Utah/California home leave","Approximate. Needs review after detailed timeline extraction.",TRUE,low,needs_review,needs_raw_dates
8,Rio De Janeiro,1965,1968,Foreign service assignment,"Rio de Janeiro, Brazil","Approximate. Corpus heading has OCR variation around chapter eight/Rio de Janeiro.",TRUE,low,needs_review,needs_raw_dates
9,The McLean Va. Years,1968,1970,Family and career in Virginia,"McLean, VA; Washington, DC area","Approximate. Old UI says Mclean Va. Years; OCR heading has McLean variation.",TRUE,low,needs_review,needs_raw_dates
10,Making a Career Change,1970,1975,Personnel management career transition,"Washington, DC area; CIA personnel management staff","Approximate. Text explicitly frames this as a major career change and personnel management period.",TRUE,medium,needs_review,needs_source_events
11,Post Rio to Retirement,1975,1984,Later career and retirement transition,"Washington, DC area; Virginia; later family/travel locations","Approximate. Needs review; final chapter appears to cover later career, family events, and retirement.",TRUE,low,needs_review,needs_raw_dates
12,Full Text,,,Reference view,All locations,"Derived full-text reference, not a narrative chapter. Exclude from timeline and chapter-level comparisons unless explicitly needed.",FALSE,not_applicable,not_applicable,not_applicable
