chapter,chapter_title,approx_start_year,approx_end_year,life_stage,location,notes,word_count,char_count,year_count,year_candidates,needs_review,source_used,rds_file_count,pdf_file_count,duration_years,timeline_label,is_aggregate,timeline_review_note
1,Earliest Memories,1916,1935,Childhood,Idaho Falls ID; Mesa AZ; Logan UT; Salt Lake City UT,"Covers family origins, early Idaho/Arizona childhood, father's death, Depression-era poverty, and return to Idaho Falls. Later years in candidate list are retrospective references.",3695,19745,15,1916; 1917; 1918; 1924; 1926; 1927; 1928; 1977; 1929; 1930; 1932; 1940; 1933; 1934; 1935,FALSE,data/raw/corpus_raw_from_rds.json,11,11,20,Chapter 1: Earliest Memories,FALSE,Curated date range. Year candidates may include historical background or retrospective references.
2,The Teenage Period,1934,1943,Teenage years,Idaho Falls ID; Pomona CA; Salt Lake City UT,"Covers adolescence, church/scouting, work, Pomona school year, early employment, courtship, Pearl Harbor, marriage, and Navy entry.",3896,21043,11,1934; 1980; 1936; 1937; 1939; 1940; 1988; 1941; 1942; 1943; 1945,FALSE,data/raw/corpus_raw_from_rds.json,11,11,10,Chapter 2: The Teenage Period,FALSE,Curated date range. Year candidates may include historical background or retrospective references.
3,World War Two,1942,1945,Military service,Treasure Island CA; Logan UT; Corpus Christi TX; Quonset Point RI; USS Wasp; Pacific Theater,"Covers electronics/radar training, USS Wasp service, Pacific carrier operations, attack damage, and end of WWII.",2760,15556,5,1942; 1943; 1944; 1986; 1945,FALSE,data/raw/corpus_raw_from_rds.json,11,11,4,Chapter 3: World War Two,FALSE,Curated date range. Year candidates may include historical background or retrospective references.
4,My College Years BYU and Colombia,1946,1953,College and graduate education,Provo UT; New York City NY; Colombia,"Covers post-war education, BYU, graduate study, language/political formation, and transition toward intelligence work.",4368,24399,9,1946; 1947; 1948; 1939; 1932; 1949; 1950; 1953; 1952,FALSE,data/raw/corpus_raw_from_rds.json,11,11,8,Chapter 4: My College Years BYU and Colombia,FALSE,Curated date range. Year candidates may include historical background or retrospective references.
5,The CIA,1950,1955,CIA entry and early intelligence career,Washington DC area; Guatemala; headquarters,Candidate years include historical background years. Curated range focuses on CIA entry and early assignments.,6498,36730,14,1947; 1939; 1950; 1952; 1951; 1954; 1936; 1953; 1955; 1943; 1882; 1860; 1835; 1845,FALSE,data/raw/corpus_raw_from_rds.json,11,11,6,Chapter 5: The CIA,FALSE,Curated date range. Year candidates may include historical background or retrospective references.
6,Montevideo Uruguay,1955,1959,Foreign service,Montevideo Uruguay,"Covers Uruguay posting, family life, diplomatic/intelligence work, and regional/political context.",3963,22418,10,1955; 1956; 1957; 1969; 1958; 1930; 1940; 1950; 1959; 1982,FALSE,data/raw/corpus_raw_from_rds.json,11,11,5,Chapter 6: Montevideo Uruguay,FALSE,Curated date range. Year candidates may include historical background or retrospective references.
7,Headquarters Duty,1960,1965,Headquarters assignment,McLean VA; Washington DC area,"Covers headquarters duty, family life, administrative/intelligence work, and lead-up to Brazil.",3974,22410,7,1960; 1961; 1963; 1965; 1962; 1950; 1964,FALSE,data/raw/corpus_raw_from_rds.json,11,11,6,Chapter 7: Headquarters Duty,FALSE,Curated date range. Year candidates may include historical background or retrospective references.
8,Rio De Janeiro,1965,1966,Foreign service,Rio de Janeiro Brazil,Covers Rio assignment; later years are retrospective references.,3157,17046,3,1965; 1966; 1988,FALSE,data/raw/corpus_raw_from_rds.json,11,11,2,Chapter 8: Rio De Janeiro,FALSE,Curated date range. Year candidates may include historical background or retrospective references.
9,The McLean Va. Years,1964,1968,Virginia years,McLean VA,Covers McLean/Virginia household and career period around the mid-to-late 1960s.,1321,7612,2,1964; 1968,FALSE,data/raw/corpus_raw_from_rds.json,11,11,5,Chapter 9: The McLean Va. Years,FALSE,Curated date range. Year candidates may include historical background or retrospective references.
10,Making a Career Change,1968,1973,Career transition,United States; Washington DC area,Covers transition out of CIA/intelligence work into a new professional direction.,2726,15842,5,1968; 1973; 1969; 1971; 1972,FALSE,data/raw/corpus_raw_from_rds.json,11,11,6,Chapter 10: Making a Career Change,FALSE,Curated date range. Year candidates may include historical background or retrospective references.
11,Post Rio to Retirement,1968,1975,Later career and retirement,United States; Washington DC area; post-Rio locations,"Covers later career arc, post-Rio reflection, and retirement transition.",3580,20044,9,1968; 1974; 1969; 1970; 1972; 1971; 1973; 1955; 1975,FALSE,data/raw/corpus_raw_from_rds.json,11,11,8,Chapter 11: Post Rio to Retirement,FALSE,Curated date range. Year candidates may include historical background or retrospective references.
12,Full Text,1916,1975,Full memoir,Multiple,Synthetic aggregate used for full-text analysis only; not a real memoir chapter.,39938,222865,60,1916; 1917; 1918; 1924; 1926; 1927; 1928; 1977; 1929; 1930; 1932; 1940; 1933; 1934; 1935; 1980; 1936; 1937; 1939; 1988; 1941; 1942; 1943; 1945; 1944; 1986; 1946; 1947; 1948; 1949,FALSE,data/raw/corpus_raw_from_rds.json,11,11,60,Chapter 12: Full Text,TRUE,Aggregate full-text row; exclude from chapter timeline charts.
